title,company,location,score
Intake Specialist Needed at Personal Injury Law Firm,M&Y Personal Injury Lawyers,"Los Angeles, CA, USA",0.1398996221598702
President and CEO,Monterey College of Law,"Seaside, CA, USA",0.1011665729746354
Enterprise Network Engineer,Kennesaw State University,"Kennesaw, GA, US",0.0986764793656007
Director of Applications - Law Firm,NicoServ,"Minneapolis, MN, US",0.09735332478292587
Senior Attorney,Puget Law Group,"Tacoma, WA, USA",0.09684599249800012
Computer Support Technician,Mendocino College,"Ukiah, CA, US",0.09632278772851655
IT Systems Specialist,GGRM Law Firm,"Las Vegas, NV, US",0.09468212371394373
Computer User Support Specialist (Remote),Dutch Ridge Consulting Group,"Washington, DC, US",0.09466672802148071
Audio Systems Engineer,Augusta University,"Augusta, GA, US",0.0942832310128131
Student Services Advisor,Westcliff University,"Irvine, CA, USA",0.09408698156066486
