title,company,location,score
Part Time IT Manager - Civil Engineering,OSEH Inc.,"Chicago, IL, US",0.32043171698159
Civil Engineering Intern,City of West Jordan,"West Jordan, UT, USA",0.21261302845641614
Land Development Civil Engineer,Bohannan Huston Inc.,"Grand Junction, CO, USA",0.1761401968451337
Civil Engineer - EIT,Mackay Sposito,"Vancouver, WA, USA",0.17246207037988284
Engineering Internship,DOWL,"Bellevue, WA, USA",0.16531381432250697
Senior Project Manager (IT),,"CA, US",0.143556082493338
Project Engineer - Heavy Civil Construction,American Civil Constructors West Coast,"Benicia, CA, USA",0.13627872008099598
"Assistant Vice President, Structural Engineering",WSP,"Cleveland, OH, US",0.1355817616241844
Structural Drafter,Western Wood Structures,"Hillsboro, OR, USA",0.12765981830799633
Construction Project Engineer,2H Talent LLC,"Orange County, CA, USA",0.12241076579812402
